Date,Open,High,Low,Close,Volume,Adj Close,Wildfire,Hurricane,Flood,Blizzard,Snowstorm,Tornado,Covid,Season,Inflation Rate
2015-09-09,16505.03906,16664.65039,16220.09961,16253.57031,118790000,16253.57031,Yes,No,Yes,No,No,No,No,Fall,0
2015-09-08,16109.92969,16503.41016,16109.92969,16492.67969,123870000,16492.67969,Yes,No,Yes,No,No,No,No,Fall,0
2015-09-04,16371.75977,16371.75977,16026.61035,16102.37988,127270000,16102.37988,Yes,No,No,No,No,No,No,Fall,0
2015-09-03,16364.33984,16550.07031,16317.30957,16374.75977,109730000,16374.75977,Yes,No,No,No,No,No,No,Fall,0
2015-09-02,16058.34961,16352.58008,16058.34961,16351.37988,133480000,16351.37988,Yes,No,No,No,No,No,No,Fall,0
2015-09-01,16528.0293,16528.0293,15979.9502,16058.34961,171390000,16058.34961,Yes,No,No,No,No,No,No,Fall,0
2015-08-31,16632.01953,16632.01953,16444.05078,16528.0293,141440000,16528.0293,Yes,No,No,No,No,No,No,Summer,0.2
2015-08-28,16649.41992,16669.9707,16535.17969,16643.00977,131790000,16643.00977,Yes,No,No,No,No,No,No,Summer,0.2
2015-08-27,16285.50977,16666.68945,16285.50977,16654.76953,171980000,16654.76953,Yes,No,No,No,No,No,No,Summer,0.2
2015-08-26,15676.25977,16303.75,15676.25977,16285.50977,208420000,16285.50977,Yes,No,No,No,No,No,No,Summer,0.2
2015-08-25,15882.26953,16312.94043,15651.24023,15666.44043,213220000,15666.44043,Yes,No,No,No,No,No,No,Summer,0.2
2015-08-24,16459.75,16459.75,15370.33008,15871.34961,293920000,15871.34961,Yes,No,No,No,No,No,No,Summer,0.2
2015-08-21,16990.68945,16990.68945,16459.55078,16459.75,225170000,16459.75,Yes,No,No,No,No,No,No,Summer,0.2
2015-08-20,17345.32031,17345.32031,16990.68945,16990.68945,128530000,16990.68945,Yes,No,No,No,No,No,No,Summer,0.2
